label name
0, Picture
1, Pan
2, Monitor
3, Poster
4, Hat
5, Ruler
6, TV
7, Cabinet
8, Painting
9, SideChair
10, Bench
11, Lamp
12, Couch
13, Plate
14, Oven
15, Fish
16, CoatRack
17, Fruit
18, Vase
19, Horse
20, ToyFigure
21, Chair
22, Basket
23, Armoire
24, Nightstand
25, PS2
26, WineBottle
27, DrinkingUtensil
28, Speaker
29, Dresser
30, CellPhone
31, Desk
32, TableLamp
33, Sword
34, Camera
35, Xbox
36, LightSwitch
37, Guitar
38, Keyboard
39, StandingClock
40, MediaPlayer
41, 1Shelves
42, TrashBin
43, WallClock
44, Laptop
45, OfficeChair
46, Plant
47, WallLamp
48, PersonStanding
49, DeskLamp
50, Tank
51, Airplane
52, Loveseat
53, EndTable
54, Desktop
55, Piano
56, Barstool
57, Bathtub
58, Shirt
59, Ottoman
60, Sideboard
61, TableClock
62, Pencil
63, SingleBed
64, Bottle
65, Truck
66, ChestOfDrawers
67, Bowl
68, DiningTable
69, PianoKeyboard
70, CoffeeTable
71, CeilingLamp
72, Knife
73, Xbox360
74, LampPost
75, Helicopter
76, Candle
77, Headphones
78, FloorLamp
79, Rug
80, Bucket
81, Book
82, Curtain
83, Battery
84, Sink
85, Sectional
86, WallUnit
87, Fireplace
88, MilkCarton
89, Mattress
90, Statue
91, Scissors
92, Refrigerator
93, TvStand
94, Table
95, WallArt
96, OfficeSideChair
97, Pizza
98, PSP
99, CerealBox
100, PictureFrame
101, Mug
102, Recliner
103, VideoGameConsole
104, Chaise
105, PaperBox
106, Fork
107, Headboard
108, WineRack
109, PottedPlant
110, Mirror
111, Teapot
112, Spoon
113, Toilet
114, Cup
115, USBStick
116, Microwave
117, FileCabinet
118, Pen
119, CeilingFan
120, Bird
121, RoundTable
122, Telephone
123, Dog
124, Stapler
125, WineGlass
126, Counter
127, LoftBed
128, RubiksCube
129, Gun
130, ToiletPaper
131, DiscCase
132, QueenBed
133, DresserWithMirror
134, Hammer
135, Bookcase
136, Chocolate
137, TissueBox
138, AccentChair
139, Ball
140, Marker
141, Courtyard
142, Cookie
143, 6Shelves
144, Pedestal
145, Suitcase
146, FoodItem
147, AccentTable
148, Printer
150, PillBottle
151, Whiteboard
152, OutdoorTable
153, Stool
154, Washer
155, Cake
156, Cap
157, NintendoDS
158, 4Shelves
159, Easel
160, 2Shelves
161, DrinkBottle
162, Room
163, Ring
164, GameTable
165, Pillow
166, Faucet
167, Elephant
168, DecorativeAccessory
169, KingBed
170, Sandwich
171, Purse
172, Car
173, Books
174, BeanBag
175, Notepad
176, Flashlight
177, Cage
178, Calculator
179, MediaDiscs
180, Board
181, DonutBox
182, SodaCan
183, SoapBottle
184, Wii
185, Bear
186, Teacup
187, DoubleBed
188, Shampoo
189, CanOpener
190, Backpack
191, TapeMeasure
192, Showerhead
193, PowerSocket
194, SoapBar
196, VideoGameController
197, Cabling
198, CurioCabinet
199, RoundBed
200, Paper
201, Ship
202, Rack
203, 3Shelves
204, Credenza
205, Radio
206, 5Shelves
207, PaperClip
208, BeerBottle
209, Cow
210, ComputerMouse
211, MousePad
212, Coin
213, Fan
216, Eraser
218, Watch
219, Glasses
220, Cassette
221, PowerStrip
222, PosterBed
223, ChildBed
224, DraftingTable
225, Canister
226, BreadSlice
227, GuitarStand
228, Donut
229, QueenBedWithNightstand
230, 7Shelves
231, Gamecube
232, Shower
233, Copier
235, CanopyBed
236, PS3
238, Vanity
240, Bag
241, KneelingChair
242, Carrot
243, Hanger
244, Shoes
245, Thermostat
246, Controller
249, Bed
253, Coaster
254, Door
255, WebCam
259, Cat
